timestamp,timestamp_unix_milli,elapsed_s,connected_clients,total_clients,bytes_sent,bytes_received,uptime_s,lg_connected_clients,ws_rtt_avg_ms,ws_rtt_p50_ms,ws_rtt_p95_ms,ws_rtt_p99_ms,ws_rtt_max_ms,ws_jitter_ms,connection_drops,cpu_percent,memory_mb,migration_event
2026-02-22T18:32:22.839541716+01:00,1771781542839,32.000,4,4,2564128,51112,39.8,4,0.336,0.345,0.432,0.544,0.551,0.057,0,1.00,11.40,0
2026-02-22T18:32:23.839541731+01:00,1771781543839,33.000,4,4,2635888,52552,40.8,4,0.347,0.337,0.518,0.575,0.584,0.070,0,2.00,11.40,0
2026-02-22T18:32:24.839541522+01:00,1771781544839,34.000,4,4,2707648,53992,41.8,4,0.319,0.317,0.416,0.508,0.549,0.052,0,1.00,11.40,0
2026-02-22T18:32:25.839543194+01:00,1771781545839,35.000,4,4,2779408,55432,42.8,4,0.329,0.326,0.446,0.473,0.478,0.059,0,2.00,11.40,1
2026-02-22T18:32:26.83954186+01:00,1771781546839,36.000,0,0,0,0,0.0,4,0.358,0.342,0.483,0.508,0.515,0.076,0,0.00,0.00,0
2026-02-22T18:32:27.839540959+01:00,1771781547839,37.000,0,0,0,0,0.0,4,0.000,0.000,0.000,0.000,0.000,0.000,0,0.00,0.00,0
2026-02-22T18:32:29.839541+01:00,1771781549839,39.000,4,4,2872288,56728,46.1,4,0.000,0.000,0.000,0.000,0.000,0.000,0,2.00,11.40,0
2026-02-22T18:32:31.839544429+01:00,1771781551839,41.000,4,4,2934172,56728,47.0,4,0.000,0.000,0.000,0.000,0.000,0.000,0,3.37,11.40,0
2026-02-22T18:32:32.839541771+01:00,1771781552839,42.000,4,4,3002932,56728,48.0,4,0.000,0.000,0.000,0.000,0.000,0.000,0,1.00,11.40,0
2026-02-22T18:32:33.839541576+01:00,1771781553839,43.000,4,4,3092992,66952,49.0,4,281.891,128.733,892.636,930.322,931.644,109.244,0,2.95,11.40,0
2026-02-22T18:32:34.839543565+01:00,1771781554839,44.000,4,4,3164752,68392,50.0,4,0.501,0.502,0.626,0.651,0.661,0.070,0,2.00,11.40,0
2026-02-22T18:32:35.839541469+01:00,1771781555839,45.000,4,4,3236512,69832,51.0,4,0.543,0.559,0.635,0.643,0.648,0.053,0,4.00,11.40,0
2026-02-22T18:32:36.839542643+01:00,1771781556839,46.000,4,4,3308272,71272,52.0,4,0.523,0.520,0.655,0.664,0.666,0.064,0,3.00,11.40,0
2026-02-22T18:32:37.839541722+01:00,1771781557839,47.000,4,4,3380032,72712,53.0,4,0.531,0.524,0.612,0.634,0.641,0.056,0,3.00,11.40,0
2026-02-22T18:32:38.839547198+01:00,1771781558839,48.000,4,4,3451792,74152,54.0,4,0.529,0.540,0.641,0.664,0.678,0.041,0,1.00,11.40,0
2026-02-22T18:32:39.83954148+01:00,1771781559839,49.000,4,4,3523552,75592,55.0,4,0.545,0.542,0.654,0.664,0.667,0.031,0,3.00,11.40,0
2026-02-22T18:32:40.839541429+01:00,1771781560839,50.000,4,4,3595312,77032,56.0,4,0.526,0.543,0.664,0.666,0.667,0.064,0,2.00,11.40,0
2026-02-22T18:32:41.839541403+01:00,1771781561839,51.000,4,4,3667072,78472,57.0,4,0.531,0.526,0.652,0.664,0.669,0.053,0,3.00,11.40,0
2026-02-22T18:32:42.839541678+01:00,1771781562839,52.000,4,4,3738832,79912,58.0,4,0.551,0.569,0.658,0.663,0.666,0.046,0,3.00,11.40,0
2026-02-22T18:32:43.83954434+01:00,1771781563839,53.000,4,4,3810592,81352,59.0,4,0.527,0.533,0.612,0.632,0.643,0.043,0,4.00,11.71,0
2026-02-22T18:32:44.839541714+01:00,1771781564839,54.000,4,4,3882352,82792,60.0,4,0.521,0.543,0.588,0.593,0.596,0.041,0,3.00,11.71,0
2026-02-22T18:32:45.839541493+01:00,1771781565839,55.000,4,4,3954112,84232,61.0,4,0.562,0.569,0.640,0.651,0.657,0.040,0,2.00,11.71,0
2026-02-22T18:32:46.83954152+01:00,1771781566839,56.000,4,4,4025872,85672,62.0,4,0.496,0.512,0.599,0.604,0.606,0.048,0,2.00,11.71,0
2026-02-22T18:32:47.839541688+01:00,1771781567839,57.000,4,4,4097632,87112,63.0,4,0.515,0.538,0.608,0.609,0.609,0.074,0,2.00,11.71,0
2026-02-22T18:32:48.839541934+01:00,1771781568839,58.000,4,4,4169392,88552,64.0,4,0.537,0.548,0.631,0.645,0.648,0.056,0,3.00,11.71,0
2026-02-22T18:32:49.83954194+01:00,1771781569839,59.000,4,4,4241152,89992,65.0,4,0.507,0.508,0.583,0.682,0.742,0.057,0,3.00,11.71,0
2026-02-22T18:32:50.839541474+01:00,1771781570839,60.000,4,4,4312912,91432,66.0,4,0.516,0.524,0.585,0.588,0.589,0.044,0,3.00,11.71,0
2026-02-22T18:32:51.839544233+01:00,1771781571839,61.000,4,4,4384672,92872,67.0,4,0.512,0.523,0.569,0.591,0.592,0.043,0,1.00,11.71,0
2026-02-22T18:32:52.839541635+01:00,1771781572839,62.000,4,4,4456432,94312,68.0,4,0.498,0.502,0.614,0.649,0.652,0.073,0,2.00,11.71,0
2026-02-22T18:32:53.83954154+01:00,1771781573839,63.000,4,4,4528192,95752,69.0,4,0.533,0.539,0.626,0.647,0.655,0.036,0,3.00,11.71,0
2026-02-22T18:32:54.839541823+01:00,1771781574839,64.000,4,4,4599952,97192,70.0,4,0.503,0.531,0.569,0.572,0.573,0.049,0,2.00,11.71,0
2026-02-22T18:32:55.839541562+01:00,1771781575839,65.000,4,4,4671712,98632,71.0,4,0.527,0.533,0.628,0.639,0.641,0.071,0,2.00,11.71,0
2026-02-22T18:32:56.839541484+01:00,1771781576839,66.000,4,4,4743472,100072,72.0,4,0.516,0.520,0.615,0.628,0.632,0.054,0,3.00,11.71,0
2026-02-22T18:32:57.839545285+01:00,1771781577839,67.000,4,4,4815232,101512,73.0,4,0.535,0.543,0.613,0.630,0.639,0.036,0,1.00,11.71,0
2026-02-22T18:32:58.839543996+01:00,1771781578839,68.000,4,4,4886992,102952,74.0,4,0.504,0.504,0.584,0.618,0.635,0.065,0,3.00,11.71,0
2026-02-22T18:32:59.839541709+01:00,1771781579839,69.000,4,4,4958752,104392,75.0,4,0.479,0.478,0.605,0.621,0.623,0.065,0,3.00,11.71,0
2026-02-22T18:33:00.839544271+01:00,1771781580839,70.000,4,4,5030512,105832,76.0,4,0.529,0.544,0.604,0.651,0.674,0.058,0,3.00,11.71,1
2026-02-22T18:33:01.839541755+01:00,1771781581839,71.000,4,4,5102272,107272,77.0,4,0.502,0.514,0.592,0.647,0.665,0.072,0,3.00,11.71,0
2026-02-22T18:33:02.839541469+01:00,1771781582839,72.000,0,0,0,0,0.0,4,0.469,0.497,0.576,0.583,0.585,0.114,0,0.00,0.00,0
2026-02-22T18:33:03.839540722+01:00,1771781583839,73.000,4,4,5156593,113176,79.4,4,496.506,496.639,994.921,998.437,998.966,181.045,0,3.00,11.71,0
2026-02-22T18:33:05.8395407+01:00,1771781585839,75.000,4,4,5160604,113176,79.5,4,0.350,0.386,0.390,0.390,0.390,0.021,0,0.00,11.71,0
2026-02-22T18:33:06.839541872+01:00,1771781586839,76.000,4,4,5220031,114472,80.3,4,0.349,0.362,0.407,0.429,0.437,0.020,0,1.28,11.71,0
2026-02-22T18:33:07.83954155+01:00,1771781587839,77.000,4,4,5291791,115912,81.3,4,0.347,0.354,0.415,0.425,0.426,0.018,0,3.00,11.71,0
2026-02-22T18:33:08.839541427+01:00,1771781588839,78.000,4,4,5363551,117352,82.3,4,0.347,0.346,0.436,0.441,0.441,0.018,0,2.00,11.71,0
2026-02-22T18:33:09.839541558+01:00,1771781589839,79.000,4,4,5435311,118792,83.3,4,0.335,0.344,0.423,0.441,0.447,0.023,0,3.00,11.71,0
2026-02-22T18:33:10.839551488+01:00,1771781590839,80.000,4,4,5507071,120232,84.3,4,0.322,0.330,0.408,0.419,0.422,0.029,0,2.00,11.71,0
2026-02-22T18:33:11.839546021+01:00,1771781591839,81.000,4,4,5578831,121672,85.3,4,0.326,0.296,0.443,0.459,0.466,0.026,0,2.00,11.71,0
2026-02-22T18:33:12.83954392+01:00,1771781592839,82.000,4,4,5651164,123112,86.3,4,0.307,0.286,0.389,0.436,0.439,0.024,0,1.00,15.96,0
2026-02-22T18:33:13.839543853+01:00,1771781593839,83.000,4,4,5722351,124552,87.3,4,0.311,0.294,0.401,0.452,0.475,0.022,0,2.00,15.96,0
2026-02-22T18:33:14.839541614+01:00,1771781594839,84.000,4,4,5794111,125992,88.3,4,0.300,0.271,0.409,0.419,0.422,0.020,0,2.00,15.96,0
2026-02-22T18:33:15.83955257+01:00,1771781595839,85.000,4,4,5865871,127432,89.3,4,0.311,0.324,0.373,0.411,0.415,0.021,0,2.00,15.96,0
2026-02-22T18:33:16.839541899+01:00,1771781596839,86.000,4,4,5937631,128872,90.3,4,0.315,0.300,0.384,0.389,0.389,0.016,0,2.00,15.96,0
